"","run.order","std.order","dist","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,-1,0.253,-0.957,0.494,0.177293529842024,0.167233477427716,0.548635976727715,0.510764643639593
"2",2,2,-0.8,0.416,-0.842,0.511,0.135033470290196,0.168309934393327,0.460658802191483,0.494562284290488
"3",3,3,-0.6,0.579,-0.728,0.528,0.126727569627696,0.131899305087354,0.48816260830605,0.504434862814149
"4",4,4,-0.4,0.743,-0.614,0.544,0.110330398691724,0.177718841778904,0.546075427075114,0.445936981392453
"5",5,5,-0.2,0.906,-0.499,0.561,0.112897699231282,0.149151287810757,0.477200241449813,0.441191422394143
"6",6,6,0,1.069,-0.385,0.578,0.0981066632490788,0.085451482393618,0.480001770598179,0.524947102278346
"7",7,7,0.2,1.232,-0.27,0.595,0.14772423037178,0.127733734160865,0.51148954916203,0.546671611576044
"8",8,8,0.4,1.395,-0.156,0.611,0.238212746756261,0.168966711848858,0.461471928655244,0.458151036817323
"9",9,9,0.6,1.559,-0.042,0.628,0.180717075652987,0.178812829192267,0.570479200193609,0.558966252321523
"10",10,10,0.8,1.722,0.073,0.645,0.125813990913032,0.141233569924517,0.47585051669548,0.437142007855597
"11",11,11,1,1.885,0.187,0.662,0.0988640397866848,0.164724533002064,0.514109106931023,0.405082316696703
