in:SA1,out:DA,out:cDA,out:UDI,out:sDA50,out:sDA80,img
1,79.777396,84.332414,73.62174,0.964286,0.75297,SA11.png
2,79.114688,83.831074,70.876491,0.956268,0.748569,SA12.png
3,81.707116,85.223881,73.332793,0.978134,0.819106,SA13.png
4,81.631986,85.201572,77.859067,0.98688,0.767082,SA14.png
5,78.976407,84.045761,77.965481,0.965015,0.679634,SA15.png
6,81.286877,85.051474,75.090456,0.978863,0.785615,SA16.png
7,82.853677,85.643958,75.008358,1.0,0.855557,SA17.png
8,81.640386,85.165109,76.405768,0.983236,0.779059,SA18.png
9,80.745333,84.819642,77.491733,0.978134,0.734682,SA19.png
10,79.636344,84.314646,76.452835,0.97014,0.713148,SA110.png
11,79.370323,84.198653,76.667411,0.967976,0.693525,SA111.png
12,74.412168,81.751481,79.2368,0.928535,0.528164,SA112.png
